Date,Region,Product,Units_Sold,Unit_Price,Revenue,Stock_Level,Warehouse_Capacity
2025-05-21,North,Parachute Coconut Oil,330,178.93,59046.9,555,4416
2025-10-30,North,Nihar Naturals,512,113.31,58014.72,200,1783
2025-10-15,North,Nihar Naturals,283,134.66,38108.78,3181,4272
2025-03-23,North,Livon Serum,512,266.36,136376.32,1055,2036
2025-07-14,North,Parachute Coconut Oil,179,185.28,33165.12,1999,2808
2025-07-13,North,Set Wet Hair Gel,160,151.13,24180.8,2344,4797
2025-12-27,South,Nihar Naturals,151,118.12,17836.12,895,2333
2025-05-23,West,Parachute Coconut Oil,544,190.61,103691.84,296,2894
2025-12-26,East,Saffola Gold,153,217.61,33294.33,879,2100
2025-07-14,West,Saffola Gold,356,252.42,89861.52,1622,4021
2025-04-28,North,Livon Serum,112,297.78,33351.36,1411,3043
2025-04-19,East,Nihar Naturals,591,112.68,66593.88,1497,5145
2025-10-27,East,Saffola Gold,518,232.54,120455.72,1112,3035
2025-02-16,West,Nihar Naturals,128,133.83,17130.24,1228,2026
2025-07-17,North,Nihar Naturals,470,130.91,61527.7,644,3317
2025-11-25,East,Parachute Coconut Oil,428,157.0,67196.0,128,3180
2025-09-17,South,Livon Serum,188,313.83,59000.04,1510,2622
2025-03-20,South,Nihar Naturals,462,141.35,65303.7,651,3609
2025-09-08,East,Nihar Naturals,99,104.67,10362.33,1148,2886
2025-05-04,North,Saffola Gold,660,260.09,171659.4,456,1750
2025-03-07,South,Nihar Naturals,566,147.32,83383.12,238,2076
2025-10-04,South,Set Wet Hair Gel,285,163.03,46463.55,2075,3034
2025-03-03,West,Set Wet Hair Gel,333,133.86,44575.38,228,2784
2025-01-04,South,Nihar Naturals,152,139.57,21214.64,73,1641
2025-09-21,North,Livon Serum,323,262.19,84687.37,1150,3388
2025-05-05,West,Nihar Naturals,564,132.22,74572.08,255,2179
2025-08-05,East,Set Wet Hair Gel,500,133.81,66905.0,509,4386
2025-07-26,North,Parachute Coconut Oil,427,205.95,87940.65,121,1847
2025-03-13,West,Nihar Naturals,512,113.5,58112.0,169,3294
2025-01-26,North,Set Wet Hair Gel,633,161.47,102210.51,804,1782
2025-09-06,West,Saffola Gold,572,209.76,119982.72,1221,3042
2025-07-19,North,Set Wet Hair Gel,351,164.77,57834.27,2562,4615
2025-03-21,West,Nihar Naturals,274,116.9,32030.6,937,1639
2025-10-27,North,Parachute Coconut Oil,568,192.01,109061.68,455,4892
2025-02-05,South,Parachute Coconut Oil,689,178.26,122821.14,258,4930
2025-10-24,South,Nihar Naturals,688,117.93,81135.84,1382,1735
2025-04-15,East,Livon Serum,401,234.54,94050.54,1771,3021
2025-02-07,East,Set Wet Hair Gel,89,133.52,11883.28,967,3706
2025-09-17,South,Nihar Naturals,351,120.93,42446.43,1265,2829
2025-08-13,South,Livon Serum,636,302.11,192141.96,3380,3905
2025-12-08,North,Nihar Naturals,647,121.66,78714.02,232,4117
2025-02-24,North,Livon Serum,646,253.87,164000.02,1928,2554
2025-12-18,South,Livon Serum,350,288.2,100870.0,541,2428
2025-05-22,West,Parachute Coconut Oil,125,162.16,20270.0,316,4558
2025-10-10,West,Saffola Gold,517,228.85,118315.45,250,1858
2025-07-09,North,Saffola Gold,676,237.52,160563.52,1830,3160
2025-07-03,North,Livon Serum,295,289.47,85393.65,3036,4131
2025-05-02,South,Set Wet Hair Gel,246,172.98,42553.08,2537,4720
2025-06-20,South,Parachute Coconut Oil,501,213.95,107188.95,1541,4939
2025-01-20,West,Parachute Coconut Oil,561,172.01,96497.61,4110,4744
2025-01-13,South,Saffola Gold,277,237.51,65790.27,2040,2541
2025-11-25,East,Livon Serum,601,244.38,146872.38,986,4855
2025-04-02,East,Parachute Coconut Oil,674,193.0,130082.0,251,2487
2025-06-10,East,Set Wet Hair Gel,526,138.38,72787.88,2989,3494
2025-01-23,East,Saffola Gold,526,186.21,97946.46,3747,5191
2025-08-09,East,Saffola Gold,151,235.18,35512.18,2215,5171
2025-09-17,East,Parachute Coconut Oil,396,180.49,71474.04,752,2736
2025-12-07,West,Saffola Gold,468,235.25,110097.0,3248,5097
2025-10-08,West,Livon Serum,80,253.75,20300.0,1593,2260
2025-08-27,East,Nihar Naturals,532,113.99,60642.68,1916,2275
2025-05-26,North,Saffola Gold,607,243.89,148041.23,1670,3936
2025-04-12,South,Livon Serum,230,254.43,58518.9,1683,2402
2025-08-01,West,Parachute Coconut Oil,669,170.75,114231.75,1369,4252
